Season,Rank,Team,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2017,52,Gator Mom,B.J. McLeod,8,0,0,0,0,2325,0,37,33.4,7,2820.9,0,0,-5040,0
2017,53,Field,Brett Moffitt,7,0,0,0,0,1554,0,35.7,33.7,6,2189.1,0,0,-5040,0
2017,54,Field,Ryan Sieg,5,0,0,0,0,1167,0,34,31.6,4,1523.78,0,0,-5040,0
2017,55,Field,Brendan Gaughan,4,0,0,1,0,723,6,34.5,15.8,3,1865.1,2,0,-5040,0
2017,56,Field,Bubba Wallace,4,0,0,0,0,795,0,22.5,17.8,4,1614.5,2,0,-5040,0
2017,57,Field,J.J. Yeley,4,0,0,0,0,1288,0,30.8,30,3,1525.26,0,0,-5040,0
2017,58,Field,Elliott Sadler,3,0,0,0,0,553,7,36,19.3,3,1413.06,2,0,-5040,0
2017,59,Field,Carl Long,3,0,0,0,0,1050,0,39.7,33.3,2,1095.64,0,0,-5040,0
2017,60,Field,David Starr,3,0,0,0,0,717,0,35.7,34,1,923,0,0,-5040,0
2017,61,Field,"Ray Black, Jr.",3,0,0,0,0,605,0,36.3,37.3,2,907.5,0,0,-5040,0
2017,62,Field,Regan Smith,2,0,0,0,0,728,0,27.5,28,1,927.5,0,0,-5040,0
2017,63,Field,Ross Chastain,2,0,0,0,0,751,0,34,29,2,751,0,0,-5040,0
2017,64,Field,Josh Bilicki,2,0,0,0,0,390,0,35.5,36,2,505.82,0,0,-5040,0
2017,65,Field,Stephen Leicht,1,0,0,0,0,153,0,36,32,1,382.5,0,0,-5040,0
2017,66,Field,Mark Thompson,1,0,0,0,0,25,0,36,39,0,66.5,0,0,-5040,0
2017,67,Field,Justin Marks,1,0,0,0,0,16,0,31,40,0,42.56,0,0,-5040,0
